,Player,Values,Min
211,Jens Cajuste,€15.4M,1694.0
212,Boubakary Soumaré,€15.3M,1818.0
213,Daichi Kamada,€15.1M,1198.0
214,Lucas Digne,€14.8M,2151.0
215,Thomas Partey,€14.7M,2347.0
216,Sammie Szmodics,€14.1M,979.0
217,Mark Flekken,€13.9M,2735.0
218,Harry Maguire,€13.8M,1418.0
219,Guido Rodríguez,€13.6M,1018.0
220,Kenny Tete,€13.4M,1271.0
221,Stephy Mavididi,€13.2M,1531.0
222,Jan Bednarek,€13M,2171.0
223,Jefferson Lerma,€12.8M,1811.0
224,Emerson Palmieri,€12.7M,1851.0
225,Paul Onuachu,€12.7M,916.0
226,Ben Johnson,€12.6M,1222.0
227,Saša Lukić,€12.1M,1879.0
228,Casemiro,€11.6M,1271.0
229,Nick Pope,€11.5M,1890.0
230,Harry Winks,€11.5M,1538.0
231,Kepa Arrizabalaga,€11.4M,2160.0
232,Santiago Bueno,€11.3M,1581.0
233,Álex Moreno,€11.2M,955.0
234,İlkay Gündoğan,€11M,1787.0
235,Christian Nørgaard,€10.8M,2279.0
236,Matz Sels,€10.2M,2880.0
237,Jack Hinshelwood,€9.2M,1505.0
238,José Sá,€8.6M,2250.0
239,Flynn Downes,€8.5M,1611.0
240,Dan Burn,€8.4M,2700.0
241,Rodrigo Muniz,€8.4M,908.0
242,Nélson Semedo,€8.3M,2415.0
243,Adama Traoré,€8.2M,1482.0
244,Joe Aribo,€8M,1909.0
245,Chris Wood,€7.9M,2434.0
246,Ethan Pinnock,€7.6M,1913.0
247,Fabian Schär,€7.5M,2322.0
248,Will Hughes,€7.3M,1695.0
249,Lewis Dunk,€7.1M,1813.0
250,Danny Welbeck,€5.9M,1686.0
251,Joël Veltman,€5.9M,1643.0
252,Abdoulaye Doucouré,€5.8M,2245.0
253,Stefan Ortega,€5.8M,920.0
254,Tyrone Mings,€5.7M,961.0
255,Raúl Jiménez,€5.2M,1927.0
256,Ben Davies,€5.1M,901.0
257,Kieran Trippier,€4.5M,949.0
258,Jordan Ayew,€4.5M,1310.0
259,Axel Tuanzebe,€4.3M,1355.0
260,Matt Doherty,€4M,1809.0
261,Christian Eriksen,€3.9M,903.0
262,Ryan Manning,€3.8M,1195.0
263,Conor Coady,€2.3M,1174.0
264,Wes Burns,€2.1M,926.0
265,Jannik Vestergaard,€2M,1391.0
266,Luke Woolfenden,€2M,1007.0
267,Cameron Burgess,€1.7M,1215.0
268,Adam Smith,€1.5M,1146.0
269,Craig Dawson,€1.5M,971.0
270,Jack Stephens,€1.4M,984.0
271,Ashley Young,€1.3M,1586.0
272,Sam Morsy,€1.3M,2240.0
273,Jamie Vardy,€1.2M,2421.0
274,Łukasz Fabiański,€0.9M,1070.0
