,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
116,Pervis Estupiñán,€35.4M,ec ECU,Brighton,DF,27-096,27,23,2132.0,1,1,5,0,1.0,2.1,55,113,105,0.04,0.08,0.04,0.09,N/a,N/a,N/a,N/a,31.8,0.3,0.05,25.0,1203,83.3,18369,93.4,83.3,50.3,24,93,31,18,113,51,2.15,4,0.17,54,36,44,15,16,2,14,30,1700,69,424,842,451,29,29,51.7,44.8,905,2321,55,54,9,30,25,1034,105,33,16,3,111,135,41,26,61.2
117,André Onana,€34.2M,cm CMR,Manchester Utd,GK,29-025,32,32,2880.0,0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,1.31,69.5,28.1,25.0,N/a,0.0,N/a,N/a,892,73.0,21204,99.1,99.0,36.2,1,23,0,0,1,4,0.12,0,0.0,1,1,3,2,0,0,0,0,1286,975,1265,22,0,0,0,N/a,N/a,912,2579,0,0,0,1,0,791,0,0,2,0,0,30,6,0,100.0
118,Vitaliy Mykolenko,€33.5M,ua UKR,Everton,DF,25-333,31,31,2722.0,0,1,2,0,0.4,1.6,31,102,84,0.0,0.03,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,20.5,874,74.3,14736,88.8,74.1,45.2,20,96,37,22,102,37,1.22,3,0.1,54,32,50,25,24,9,15,36,1489,112,471,641,388,26,20,40.0,45.0,609,1416,31,26,1,20,10,753,84,20,28,3,86,77,44,36,55.0
119,Liam Delap,€33M,eng ENG,Ipswich Town,FW,22-078,33,30,2424.0,12,2,9,0,9.1,1.9,59,30,104,0.45,0.52,0.34,0.07,N/a,N/a,N/a,N/a,43.5,1.0,0.16,16.0,208,61.0,2883,70.1,63.5,39.1,20,16,6,0,30,60,2.23,7,0.26,10,7,14,12,8,0,8,2,647,29,76,271,320,87,80,46.3,43.8,422,1485,59,44,28,96,55,507,104,65,48,13,5,64,52,67,43.7
120,Jarrad Branthwaite,€32.9M,eng ENG,Everton,DF,22-304,27,25,2258.0,0,1,4,0,1.1,0.6,9,57,2,0.0,0.04,0.04,0.02,N/a,N/a,N/a,N/a,37.5,0.12,0.00,8.2,851,81.6,16684,89.7,90.3,55.0,2,75,2,0,57,12,0.48,2,0.08,35,20,26,7,29,21,8,23,1345,196,713,581,58,22,5,60.0,20.0,643,2143,9,13,2,8,3,774,2,10,15,1,3,80,50,36,58.1
121,Joachim Andersen,€32.9M,dk DEN,Fulham,DF,28-331,25,25,2223.0,0,0,5,1,0.9,0.3,13,103,2,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,25.0,0.16,0.00,15.7,1437,82.9,31834,91.5,93.6,55.8,3,169,6,3,103,30,1.22,2,0.08,24,17,20,7,31,25,6,30,2019,285,1056,886,89,19,6,66.7,0.0,1175,2831,13,12,1,5,3,1393,2,15,17,0,10,105,61,35,63.5
122,Matty Cash,€32.8M,pl POL,Aston Villa,DF,27-263,23,20,1710.0,1,1,6,0,0.3,1.1,44,38,70,0.05,0.11,0.02,0.06,N/a,N/a,N/a,N/a,40.0,0.21,0.10,19.0,607,78.6,10099,89.7,79.8,49.4,10,36,8,4,38,22,1.16,2,0.11,46,26,33,10,17,6,11,21,963,70,350,382,242,37,32,46.9,43.8,479,1576,44,33,4,17,6,547,70,24,15,1,30,61,17,19,47.2
123,Bart Verbruggen,€32M,nl NED,Brighton,GK,22-252,32,32,2880.0,0,1,5,0,0.0,0.0,0,2,0,0.0,0.03,0.0,0.0,1.69,63.3,18.8,0.0,N/a,0.0,N/a,N/a,919,78.0,21714,99.2,98.2,47.3,1,17,1,0,2,5,0.16,1,0.03,0,0,3,3,1,0,1,0,1258,999,1245,13,0,0,2,100.0,0.0,849,1576,0,1,1,2,0,814,0,0,2,0,0,58,10,1,90.9
124,Tyler Dibling,€32M,eng ENG,Southampton,"FW,MF",19-046,30,18,1697.0,2,0,6,0,2.5,1.5,67,60,90,0.11,0.11,0.13,0.08,N/a,N/a,N/a,N/a,32.1,0.48,0.07,19.3,462,80.8,6935,90.2,85.1,44.4,20,25,20,1,60,55,2.92,4,0.21,34,20,26,10,19,5,14,7,806,24,105,369,351,40,103,42.7,36.9,519,2096,67,47,26,41,53,604,90,28,48,2,27,74,10,21,32.3
125,Leandro Trossard,€31.8M,be BEL,Arsenal,FW,30-144,34,25,2264.0,8,5,4,1,6.6,5.1,71,91,202,0.32,0.52,0.26,0.2,N/a,N/a,N/a,N/a,30.3,0.8,0.12,16.0,616,73.6,10098,84.8,76.0,51.2,36,40,41,9,91,78,3.1,6,0.24,25,16,31,22,28,0,28,9,1118,15,117,350,667,137,70,41.4,44.3,710,1879,71,47,27,53,42,836,202,24,41,5,78,90,6,21,22.2
126,Jean-Philippe Mateta,€31.7M,fr FRA,Crystal Palace,FW,27-303,33,30,2442.0,14,2,2,0,12.1,3.1,37,46,114,0.52,0.59,0.45,0.11,N/a,N/a,N/a,N/a,41.7,0.92,0.20,15.6,269,65.0,3557,76.4,62.5,31.8,27,31,15,2,46,56,2.06,8,0.29,17,12,16,13,16,3,13,2,680,24,57,327,310,86,42,42.9,47.6,363,894,37,20,8,67,41,502,114,27,26,17,24,60,59,95,38.3
127,Rodrigo Bentancur,€31.4M,uy URU,Tottenham,MF,27-306,23,19,1518.0,2,0,7,0,1.3,0.4,26,99,34,0.12,0.12,0.08,0.03,N/a,N/a,N/a,N/a,22.7,0.3,0.09,17.4,916,88.1,14862,91.1,92.7,75.4,10,107,12,2,99,45,2.67,3,0.18,38,20,39,20,24,8,16,36,1252,70,299,747,215,24,18,44.4,44.4,739,1446,26,23,5,18,19,826,34,31,10,1,4,111,35,27,56.5
128,Yoane Wissa,€31.4M,cd COD,Brentford,FW,28-236,30,29,2470.0,16,3,2,0,14.9,1.8,48,56,131,0.58,0.69,0.54,0.07,N/a,N/a,N/a,N/a,45.9,1.24,0.22,13.7,394,77.1,5724,86.4,75.3,61.0,23,40,9,1,56,58,2.11,8,0.29,18,8,23,14,25,5,20,8,801,29,124,325,365,138,43,27.9,51.2,472,1345,48,20,26,62,27,569,131,26,44,14,20,61,28,31,47.5
129,Lucas Bergvall,€31.3M,se SWE,Tottenham,MF,19-084,26,10,1122.0,0,1,3,0,0.7,0.6,31,49,29,0.0,0.08,0.06,0.05,N/a,N/a,N/a,N/a,16.7,0.16,0.00,19.9,608,88.2,10149,92.7,90.3,75.8,11,50,7,3,49,21,1.68,4,0.32,37,19,31,14,16,7,9,22,845,34,176,456,226,20,44,47.7,43.2,510,1580,31,21,4,19,18,562,29,20,14,0,18,71,8,8,50.0
130,Alex Iwobi,€31.2M,ng NGA,Fulham,"FW,MF",28-359,34,32,2721.0,9,6,1,0,4.4,6.5,133,196,221,0.3,0.5,0.15,0.21,N/a,N/a,N/a,N/a,44.3,0.89,0.15,18.3,1036,74.4,17738,85.8,77.3,54.2,53,106,77,16,196,112,3.7,16,0.53,37,21,28,11,25,1,24,11,1692,31,225,677,815,107,84,50.0,45.2,1201,4048,133,100,37,54,39,1321,221,17,16,4,118,124,5,31,13.9
131,Facundo Buonanotte,€31.1M,ar ARG,Leicester City,"FW,MF",20-125,29,14,1474.0,4,2,7,0,3.8,3.1,39,52,69,0.24,0.37,0.23,0.19,N/a,N/a,N/a,N/a,29.4,0.61,0.12,17.9,430,76.6,6794,85.7,81.9,48.6,24,40,13,2,52,50,3.05,4,0.24,53,32,68,46,32,6,26,11,850,26,127,437,299,36,79,32.9,62.0,465,1320,39,26,8,53,39,516,69,35,33,3,41,77,17,35,32.7
132,Nathan Collins,€30.7M,ie IRL,Brentford,DF,23-362,33,33,2970.0,2,2,5,0,2.5,1.5,25,112,18,0.06,0.12,0.08,0.05,N/a,N/a,N/a,N/a,37.5,0.18,0.13,10.8,1501,85.8,28532,88.0,92.4,59.7,9,94,7,2,112,28,0.85,7,0.21,35,20,31,10,68,48,20,31,2139,341,1124,867,158,63,12,50.0,41.7,1125,3556,25,9,0,15,8,1303,18,24,25,6,7,145,103,57,64.4
133,Wesley Fofana,€30.4M,fr FRA,Chelsea,DF,24-131,14,14,1172.0,0,0,7,0,0.4,0.4,19,32,4,0.0,0.0,0.03,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.00,10.6,724,90.2,12262,93.9,92.5,61.9,6,54,1,0,32,15,1.15,0,0.0,13,12,14,8,14,9,5,14,933,81,370,523,55,10,15,53.3,20.0,557,1614,19,12,1,16,5,665,4,24,16,0,1,54,27,12,69.2
134,Jørgen Strand Larsen,€30.3M,no NOR,Wolves,FW,25-080,32,29,2463.0,13,2,4,0,10.3,2.4,16,28,105,0.48,0.55,0.37,0.09,N/a,N/a,N/a,N/a,60.4,1.17,0.25,11.5,271,63.0,3531,70.2,62.9,70.0,19,18,4,1,28,40,1.46,5,0.18,9,6,27,23,18,4,14,5,694,34,83,328,284,104,17,41.2,58.8,325,445,16,13,9,88,32,506,105,46,18,14,6,42,66,96,40.7
135,Yves Bissouma,€30M,ml MLI,Tottenham,MF,28-240,24,15,1210.0,2,0,7,0,0.6,0.3,15,71,3,0.15,0.15,0.04,0.02,N/a,N/a,N/a,N/a,40.0,0.3,0.20,23.2,693,89.4,10536,92.9,93.4,63.2,6,57,10,1,71,15,1.12,0,0.0,44,28,32,15,7,4,3,14,938,58,261,535,148,5,21,33.3,66.7,564,1513,15,17,0,22,13,657,3,22,18,0,2,71,4,7,36.4
136,Taylor Harwood-Bellis,€29.9M,eng ENG,Southampton,DF,23-087,31,29,2564.0,1,0,8,0,1.7,1.0,28,116,9,0.04,0.04,0.06,0.03,N/a,N/a,N/a,N/a,36.8,0.25,0.05,10.6,1742,88.0,32305,93.0,92.0,64.2,14,168,9,0,116,37,1.3,2,0.07,27,19,33,14,59,37,22,30,2267,305,1054,1051,171,38,3,100.0,0.0,1304,3602,28,27,0,15,5,1641,9,32,13,0,9,115,52,40,56.5
137,Calvin Bassey,€29.9M,ng NGA,Fulham,DF,25-117,32,31,2804.0,1,0,6,0,1.0,0.1,34,104,13,0.03,0.03,0.03,0.0,N/a,N/a,N/a,N/a,28.6,0.13,0.07,15.4,1758,89.6,30956,94.9,94.0,60.3,2,135,2,0,104,22,0.71,3,0.1,51,32,28,8,37,17,20,18,2244,294,1099,1050,119,17,29,44.8,34.5,1443,4328,34,16,4,32,8,1558,13,24,30,2,6,155,40,31,56.3
138,Aaron Wan-Bissaka,€29.7M,eng ENG,West Ham,DF,27-152,32,31,2794.0,2,2,1,0,1.1,2.9,95,128,143,0.06,0.13,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.5,1277,81.1,18345,89.9,82.4,47.5,29,89,29,11,128,83,2.67,7,0.23,61,43,26,7,31,9,22,59,1959,136,618,839,531,40,100,54.0,35.0,928,3256,95,56,12,28,21,1134,143,22,24,4,64,155,22,29,43.1
139,Kevin Schade,€29.7M,de GER,Brentford,FW,23-151,33,21,1931.0,7,2,3,0,6.2,3.3,54,32,139,0.33,0.42,0.29,0.16,N/a,N/a,N/a,N/a,42.2,0.89,0.16,11.9,279,58.7,4339,69.2,60.1,41.5,19,29,9,3,32,46,2.15,8,0.37,34,23,20,8,14,2,12,5,757,37,124,209,439,121,75,34.7,57.3,382,1236,54,26,33,48,33,468,139,19,31,13,36,71,75,62,54.7
140,André,€29.4M,br BRA,Wolves,MF,23-285,29,27,2170.0,0,0,7,0,0.4,0.7,8,92,11,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,12.5,0.04,0.00,25.8,1074,92.7,16927,95.3,95.0,79.3,14,97,4,0,92,43,1.78,3,0.12,75,45,54,23,41,8,33,31,1403,80,380,908,130,3,27,48.1,37.0,767,1391,8,15,0,27,16,939,11,34,32,0,0,173,2,6,25.0
141,Daniel Muñoz,€28.9M,co COL,Crystal Palace,DF,28-336,33,33,2868.0,4,4,9,0,4.6,4.4,49,83,183,0.13,0.25,0.14,0.14,N/a,N/a,N/a,N/a,37.5,0.38,0.13,12.3,1004,75.8,15308,85.7,77.1,44.3,39,53,31,13,83,74,2.32,9,0.28,109,70,86,37,35,3,32,39,1788,107,508,743,556,89,50,38.0,58.0,695,1461,49,32,15,50,18,846,183,47,19,13,60,149,56,73,43.4
142,David Raya,€28.7M,es ESP,Arsenal,GK,29-224,34,34,3060.0,0,0,2,0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.85,75.5,35.3,0.0,N/a,0.0,N/a,N/a,945,74.7,22291,99.3,98.4,38.1,0,39,1,0,12,4,0.12,1,0.03,0,0,2,2,0,0,0,2,1321,772,1240,81,0,0,1,100.0,0.0,821,2479,0,0,0,1,0,756,0,1,8,0,0,38,10,0,100.0
143,Mikkel Damsgaard,€28.6M,dk DEN,Brentford,"MF,FW",24-298,33,29,2495.0,2,10,2,0,2.6,7.3,62,204,115,0.07,0.43,0.09,0.26,N/a,N/a,N/a,N/a,22.6,0.25,0.06,17.1,954,72.8,16253,85.4,73.5,52.8,55,144,62,15,204,109,3.93,21,0.76,73,40,69,42,33,2,31,25,1619,33,293,734,614,70,89,51.7,36.0,924,2615,62,42,9,53,42,1075,115,15,26,6,118,152,12,25,32.4
144,Radu Drăguşin,€28.4M,ro ROU,Tottenham,DF,23-083,16,14,1252.0,0,0,1,0,0.1,0.4,7,37,2,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,20.0,0.07,0.00,12.7,716,85.2,13638,91.0,93.0,43.9,4,52,2,1,37,8,0.58,1,0.07,10,6,12,6,22,16,6,15,961,148,510,430,30,12,2,0.0,0.0,623,1666,7,3,0,8,2,669,2,6,10,0,1,48,33,22,60.0
145,Leif Davis,€28.4M,eng ENG,Ipswich Town,DF,25-105,31,30,2563.0,1,2,5,1,0.9,4.3,48,55,117,0.04,0.11,0.03,0.15,N/a,N/a,N/a,N/a,14.3,0.07,0.07,20.4,854,71.5,14708,86.0,77.4,37.3,54,30,26,11,55,85,2.98,4,0.14,45,26,46,17,24,8,16,25,1459,115,517,484,477,36,37,35.1,45.9,659,1940,48,27,10,36,14,770,117,25,30,3,148,111,33,22,60.0
146,Dango Ouattara,€28.2M,bf BFA,Bournemouth,FW,23-075,30,19,1843.0,7,4,2,0,8.2,5.2,73,41,184,0.34,0.54,0.4,0.25,N/a,N/a,N/a,N/a,33.9,0.98,0.12,13.4,339,59.8,5400,72.4,62.2,39.1,31,20,23,9,41,65,3.18,6,0.29,31,23,38,22,33,8,25,8,885,55,148,285,470,123,74,48.6,43.2,454,1611,73,32,37,55,30,535,184,15,17,13,80,83,41,57,41.8
147,Sander Berge,€27.9M,no NOR,Fulham,MF,27-072,27,23,2017.0,0,0,4,0,0.2,0.6,27,110,8,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.00,7.6,984,91.3,17529,91.6,94.4,84.0,17,104,4,0,110,41,1.83,2,0.09,48,28,37,12,26,8,18,20,1254,75,345,719,196,13,20,55.0,30.0,733,1793,27,22,2,11,15,808,8,27,8,0,3,116,25,20,55.6
148,Omari Giraud-Hutchinson,€27.6M,eng ENG,Ipswich Town,"MF,FW",21-179,27,26,2223.0,3,2,5,0,2.3,2.5,71,69,131,0.12,0.2,0.09,0.1,N/a,N/a,N/a,N/a,44.4,0.65,0.08,20.8,581,78.3,9129,88.2,84.6,52.7,23,43,20,9,69,64,2.59,6,0.24,30,11,45,32,24,1,23,10,1061,12,168,450,463,74,114,39.5,47.4,645,2288,71,35,30,68,55,748,131,28,36,4,56,90,6,22,21.4
149,Keane Lewis-Potter,€27.3M,eng ENG,Brentford,"DF,FW",24-064,33,31,2714.0,1,3,5,0,2.6,3.0,92,88,143,0.03,0.13,0.08,0.1,N/a,N/a,N/a,N/a,51.9,0.46,0.04,20.5,858,77.2,14139,89.4,79.0,49.7,22,56,40,14,88,65,2.16,8,0.27,44,26,42,16,24,9,15,19,1414,93,430,542,460,69,94,40.4,50.0,747,2921,92,61,34,42,18,835,143,14,27,4,67,131,26,33,44.1
150,Lesley Ugochukwu,€27.1M,fr FRA,Southampton,MF,21-032,23,15,1447.0,1,1,5,0,0.8,1.0,27,48,20,0.06,0.12,0.05,0.06,N/a,N/a,N/a,N/a,11.1,0.06,0.11,18.4,536,84.4,8330,86.9,91.9,57.1,14,50,6,1,48,23,1.43,1,0.06,46,22,32,15,25,9,16,12,793,45,191,446,162,23,26,69.2,26.9,431,1122,27,14,6,11,10,538,20,26,14,0,6,59,18,17,51.4
151,Dwight McNeil,€27M,eng ENG,Everton,"MF,FW",25-156,17,13,1185.0,3,4,1,0,1.1,3.8,32,61,68,0.23,0.53,0.08,0.29,N/a,N/a,N/a,N/a,37.5,0.68,0.13,21.6,390,73.0,7325,86.2,81.1,52.9,33,35,33,10,61,62,4.71,7,0.53,11,6,19,11,7,0,7,5,645,3,65,280,315,22,38,55.3,42.1,374,970,32,29,4,22,28,435,68,6,14,1,92,65,3,14,17.6
152,Evanilson,€26.9M,br BRA,Bournemouth,FW,25-203,26,23,1903.0,9,0,0,0,11.0,1.5,25,19,86,0.43,0.43,0.52,0.07,N/a,N/a,N/a,N/a,45.2,1.32,0.15,12.9,190,68.8,2309,73.5,71.4,69.2,22,14,2,0,19,55,2.6,7,0.33,14,9,10,4,10,2,8,0,462,22,47,172,246,112,19,31.6,36.8,267,695,25,14,14,30,21,322,86,28,40,16,0,55,38,55,40.9
153,Sepp van den Berg,€26.4M,nl NED,Brentford,DF,23-128,26,24,2136.0,0,0,2,0,1.4,0.2,8,66,27,0.0,0.0,0.06,0.01,N/a,N/a,N/a,N/a,28.6,0.17,0.00,10.9,876,83.9,15011,87.0,88.3,62.9,4,55,3,1,66,20,0.84,2,0.08,35,22,25,9,47,33,14,19,1329,236,673,502,157,40,7,57.1,42.9,583,1446,8,9,0,14,6,742,27,19,5,1,7,79,79,62,56.0
154,Maxence Lacroix,€25.8M,fr FRA,Crystal Palace,DF,25-021,31,31,2756.0,1,1,5,0,2.8,0.8,8,59,7,0.03,0.07,0.09,0.02,N/a,N/a,N/a,N/a,20.0,0.16,0.04,11.8,1093,81.9,22521,85.3,90.9,55.3,6,66,2,1,59,26,0.85,4,0.13,67,40,47,15,41,16,25,50,1737,314,1060,612,72,36,13,61.5,23.1,931,1946,8,4,0,21,3,1024,7,31,18,1,6,121,54,44,55.1
155,Tomáš Souček,€25.6M,cz CZE,West Ham,MF,30-059,31,26,2251.0,8,1,8,0,5.9,1.0,6,68,63,0.32,0.36,0.24,0.04,N/a,N/a,N/a,N/a,28.0,0.56,0.16,11.2,623,73.8,10496,78.8,77.2,69.8,14,58,8,1,68,43,1.72,3,0.12,40,19,37,17,34,17,17,18,1115,110,309,544,266,97,11,54.5,45.5,430,448,6,10,3,16,10,666,63,41,24,4,11,52,90,65,58.1
156,Callum Hudson-Odoi,€25.4M,eng ENG,Nott'ham Forest,"FW,MF",24-171,28,24,2107.0,5,2,2,0,2.5,2.7,126,66,186,0.21,0.3,0.11,0.11,N/a,N/a,N/a,N/a,45.9,0.73,0.14,18.3,660,82.1,9651,92.0,81.9,50.0,44,35,30,10,66,94,4.02,11,0.47,20,14,16,5,11,0,11,13,988,14,107,316,590,72,62,58.1,29.0,617,3301,126,61,45,44,23,751,186,12,21,8,74,90,3,10,23.1
157,Jacob Greaves,€25.4M,eng ENG,Ipswich Town,DF,24-227,21,21,1845.0,1,0,5,0,1.2,0.0,6,51,7,0.05,0.05,0.06,0.0,N/a,N/a,N/a,N/a,50.0,0.2,0.13,8.3,792,86.5,12990,93.1,90.1,41.4,2,59,1,0,51,13,0.63,0,0.0,31,14,26,9,36,24,12,18,1141,243,618,456,71,15,3,66.7,33.3,524,925,6,9,0,7,2,704,7,11,18,1,0,43,58,38,60.4
158,Wout Faes,€25.3M,be BEL,Leicester City,DF,27-024,30,26,2455.0,1,0,4,0,1.4,0.1,12,73,1,0.04,0.04,0.05,0.0,N/a,N/a,N/a,N/a,9.1,0.04,0.09,10.0,1175,87.1,21776,93.4,94.8,52.7,4,76,6,0,73,14,0.51,0,0.0,39,24,42,20,45,33,12,26,1654,272,811,784,67,26,6,83.3,16.7,952,2603,12,13,2,16,6,1086,1,21,9,1,5,84,41,34,54.7
159,Mateo Kovačić,€25.3M,hr CRO,Manchester City,MF,30-356,28,22,1960.0,6,1,5,0,1.7,3.5,51,142,15,0.28,0.32,0.08,0.16,N/a,N/a,N/a,N/a,31.6,0.55,0.16,22.2,1523,92.5,23541,95.0,95.6,62.5,28,178,27,0,142,59,2.71,6,0.28,61,36,59,32,19,0,19,20,1859,48,274,1063,543,16,38,52.6,28.9,1259,3432,51,71,3,16,29,1506,15,22,22,0,0,109,9,7,56.3
160,Tyrick Mitchell,€25.1M,eng ENG,Crystal Palace,DF,25-238,34,34,2852.0,0,4,2,0,1.2,5.6,56,62,160,0.0,0.13,0.04,0.18,N/a,N/a,N/a,N/a,18.2,0.06,0.00,13.4,904,72.2,14514,84.3,74.5,42.3,37,45,31,14,62,66,2.08,5,0.16,85,52,41,20,62,12,50,14,1614,104,560,615,452,42,31,41.9,48.4,742,1555,56,33,9,35,28,827,160,20,22,2,97,152,18,21,46.2
161,Iliman Ndiaye,€24.9M,sn SEN,Everton,FW,25-052,29,26,2162.0,7,0,3,0,5.2,1.6,79,45,106,0.29,0.29,0.22,0.07,N/a,N/a,N/a,N/a,41.9,0.54,0.16,17.3,514,80.6,7768,86.0,85.8,68.0,17,34,14,5,45,58,2.42,5,0.21,47,25,44,25,25,4,21,17,956,32,197,397,410,74,134,45.5,47.0,551,2169,79,40,29,48,38,582,106,21,46,5,35,160,5,17,22.7
162,Ismaïla Sarr,€24.9M,sn SEN,Crystal Palace,"MF,FW",27-061,34,26,2392.0,7,4,4,0,8.7,7.0,67,76,164,0.26,0.41,0.33,0.26,N/a,N/a,N/a,N/a,50.0,0.9,0.15,13.3,438,66.6,6582,74.8,70.8,47.7,37,26,36,8,76,97,3.65,9,0.34,21,10,23,16,22,7,15,8,954,39,156,367,441,118,51,29.4,52.9,526,1855,67,42,26,61,41,650,164,12,49,11,50,99,31,46,40.3
163,Robert Sánchez,€24.8M,es ESP,Chelsea,GK,27-160,28,28,2520.0,0,0,5,0,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,1.11,76.7,28.6,20.0,N/a,0.0,N/a,N/a,790,72.1,18908,99.5,96.3,38.9,2,24,1,0,1,7,0.25,2,0.07,0,0,1,1,0,0,0,2,1163,856,1152,11,0,0,0,N/a,N/a,777,2394,0,0,0,0,0,724,0,2,4,0,0,41,8,0,100.0
164,Tosin Adarabioyo,€24.8M,eng ENG,Chelsea,DF,27-215,20,13,1229.0,1,1,3,0,0.9,0.2,5,37,1,0.07,0.15,0.07,0.02,N/a,N/a,N/a,N/a,16.7,0.15,0.08,12.5,988,91.4,18105,95.7,94.9,61.1,1,53,1,0,37,12,0.88,1,0.07,14,10,12,4,9,7,2,10,1198,160,570,603,26,13,5,80.0,0.0,713,1690,5,2,0,3,0,916,1,8,6,1,0,34,36,26,58.1
165,Tyler Adams,€24.5M,us USA,Bournemouth,MF,26-072,23,16,1530.0,0,3,6,0,1.6,0.8,12,61,7,0.0,0.18,0.09,0.05,N/a,N/a,N/a,N/a,25.0,0.12,0.00,16.1,674,83.1,10605,88.2,87.9,56.9,14,52,2,1,61,35,2.06,4,0.24,74,45,62,28,27,7,20,29,1041,46,270,601,182,15,16,18.8,56.3,491,1059,12,17,1,25,9,555,7,40,18,0,3,91,29,15,65.9
166,Alisson,€24.5M,br BRA,Liverpool,GK,32-207,23,23,2058.0,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.03,0.83,72.1,39.1,N/a,N/a,0.0,N/a,N/a,590,82.4,13140,98.9,98.4,46.8,1,10,0,0,0,6,0.26,1,0.04,1,0,1,1,0,0,0,0,758,551,743,15,0,0,1,100.0,0.0,484,1136,0,0,0,1,0,454,0,0,2,0,0,41,6,0,100.0
167,Jesper Lindstrøm,€24.4M,dk DEN,Everton,FW,25-057,25,15,1239.0,0,1,2,0,2.1,2.0,30,25,81,0.0,0.07,0.15,0.15,N/a,N/a,N/a,N/a,35.7,0.73,0.00,21.0,297,69.4,4593,86.2,65.7,44.6,19,18,12,7,25,46,3.35,1,0.07,45,25,55,36,15,3,12,12,625,22,127,206,303,40,43,18.6,72.1,302,780,30,19,7,31,24,347,81,15,10,1,71,70,6,12,33.3
168,Marcus Tavernier,€24.4M,eng ENG,Bournemouth,"FW,MF",26-036,24,16,1561.0,3,5,5,0,5.2,2.8,37,99,103,0.17,0.46,0.3,0.16,N/a,N/a,N/a,N/a,31.3,0.86,0.06,20.5,525,72.6,8934,86.3,78.2,43.6,36,61,29,9,99,82,4.73,10,0.58,38,23,25,16,14,2,12,4,942,18,104,354,504,49,47,42.6,51.1,534,1525,37,35,7,36,42,601,103,25,20,4,89,96,22,30,42.3
169,Beto,€24.4M,gw GNB,Everton,FW,27-086,26,11,1192.0,6,0,2,0,6.1,0.8,12,9,62,0.45,0.45,0.46,0.06,N/a,N/a,N/a,N/a,51.4,1.36,0.17,13.6,116,56.6,1593,68.0,48.5,87.5,8,5,3,1,9,17,1.28,0,0.0,13,6,8,3,7,1,6,3,403,21,41,182,185,65,32,53.1,43.8,210,387,12,9,9,53,32,291,62,29,18,14,3,29,74,86,46.3
170,Orel Mangala,€24.4M,be BEL,Everton,MF,27-040,19,14,1261.0,1,0,2,0,1.1,0.6,6,34,19,0.07,0.07,0.08,0.05,N/a,N/a,N/a,N/a,37.5,0.43,0.06,22.1,437,89.2,6998,90.5,94.9,76.7,8,50,8,1,34,24,1.72,1,0.07,16,8,8,3,8,3,5,21,621,22,133,335,157,13,24,58.3,37.5,298,576,6,6,3,12,12,406,19,24,17,2,6,49,6,8,42.9
171,Victor Kristiansen,€23.9M,dk DEN,Leicester City,DF,22-132,28,28,2380.0,0,1,1,0,0.3,1.4,39,69,75,0.0,0.04,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,17.7,1007,77.6,16181,89.6,80.1,41.4,18,74,23,18,69,41,1.55,3,0.11,85,50,87,40,37,14,23,40,1581,113,564,711,319,15,17,47.1,47.1,800,1806,39,25,5,13,12,872,75,17,17,3,96,97,19,42,31.1
172,Jordan Pickford,€23.8M,eng ENG,Everton,GK,31-051,34,34,3060.0,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,1.21,71.5,29.4,100.0,N/a,0.0,N/a,N/a,939,66.2,29916,99.3,98.3,46.5,2,66,8,0,0,12,0.35,2,0.06,1,0,2,1,0,0,0,1,1518,989,1451,68,0,0,0,N/a,N/a,861,3099,0,0,0,2,0,756,0,0,6,0,0,31,4,1,80.0
173,Carlos Soler,€23.3M,es ESP,West Ham,"MF,FW",28-115,28,14,1347.0,1,1,5,0,1.7,1.2,16,52,33,0.07,0.13,0.11,0.08,N/a,N/a,N/a,N/a,29.2,0.47,0.04,19.1,530,85.1,8264,94.4,85.7,53.7,14,41,11,0,52,46,3.08,2,0.13,13,10,22,16,19,6,13,8,738,26,172,384,187,22,18,44.4,50.0,338,714,16,16,4,11,14,502,33,24,17,0,31,63,9,11,45.0
