,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
39,Miloš Kerkez,€61.6M,hu HUN,Bournemouth,DF,21-171,33,33,2897.0,2,5,4,0,0.5,3.3,89,141,161,0.06,0.22,0.02,0.1,N/a,N/a,N/a,N/a,29.4,0.16,0.12,20.4,1141,75.4,17883,89.3,78.1,36.8,30,79,34,22,141,74,2.3,9,0.28,49,26,36,14,33,11,22,38,1858,101,482,782,616,57,43,44.2,32.6,926,3158,89,62,15,42,18,1004,161,27,44,1,115,148,25,46,35.2
40,Curtis Jones,€61.6M,eng ENG,Liverpool,"MF,DF",24-087,28,16,1415.0,3,3,3,1,4.1,1.0,21,83,67,0.19,0.38,0.26,0.06,N/a,N/a,N/a,N/a,41.4,0.76,0.10,15.6,800,93.2,11625,96.8,93.0,73.7,19,58,16,0,83,40,2.54,7,0.45,33,17,22,8,15,7,8,5,1014,26,155,536,329,50,16,62.5,31.3,612,1318,21,14,5,22,29,759,67,15,21,1,6,75,13,12,52.0
41,João Pedro,€61.3M,br BRA,Brighton,"FW,MF",23-213,27,23,1948.0,10,6,4,1,8.9,5.0,66,78,128,0.46,0.74,0.41,0.23,N/a,N/a,N/a,N/a,35.7,0.69,0.12,17.2,482,72.9,6847,78.7,75.1,65.9,30,42,36,5,78,72,3.32,9,0.42,16,12,11,7,12,0,12,9,940,12,60,387,508,122,86,33.7,54.7,616,1821,66,39,30,72,38,732,128,26,46,2,22,59,41,43,48.8
42,Bruno Fernandes,€61.2M,pt POR,Manchester Utd,MF,30-231,32,31,2668.0,8,9,4,2,9.4,6.8,62,264,114,0.27,0.57,0.32,0.23,N/a,N/a,N/a,N/a,30.0,0.81,0.06,21.7,1462,75.2,25699,86.7,80.2,52.9,77,171,63,9,264,157,5.3,12,0.4,73,44,75,46,30,4,26,25,2297,59,385,1086,848,70,64,42.2,48.4,1331,3256,62,58,11,35,37,1605,114,26,37,2,164,187,20,27,42.6
43,Pedro Neto,€60.4M,pt POR,Chelsea,FW,25-049,31,20,1923.0,4,4,8,0,2.8,5.4,110,56,220,0.19,0.37,0.13,0.25,N/a,N/a,N/a,N/a,31.4,0.75,0.08,18.9,618,78.5,10072,92.8,81.3,47.8,42,28,33,21,56,83,3.88,7,0.33,21,9,18,11,12,2,10,8,1008,11,87,295,642,102,91,31.9,44.0,656,2845,110,51,38,39,24,734,220,18,29,3,131,70,10,26,27.8
44,Dejan Kulusevski,€60.3M,se SWE,Tottenham,"MF,FW",25-002,29,25,2236.0,7,4,3,0,4.2,6.1,117,121,207,0.28,0.44,0.17,0.25,N/a,N/a,N/a,N/a,37.8,0.68,0.16,14.6,639,74.0,8972,86.1,78.3,40.3,64,61,52,6,121,125,5.03,9,0.36,41,23,48,30,26,3,23,12,1218,21,136,408,698,153,109,33.0,59.6,795,3149,117,66,38,73,72,871,207,41,33,5,88,112,10,14,41.7
45,Rasmus Winther Højlund,€60M,dk DEN,Manchester Utd,FW,22-082,28,19,1654.0,3,0,2,0,3.4,1.2,26,16,82,0.16,0.16,0.18,0.06,N/a,N/a,N/a,N/a,37.5,0.49,0.13,13.1,210,77.2,2255,83.4,73.5,75.0,13,12,5,1,16,30,1.63,1,0.05,3,1,4,4,4,0,4,1,422,5,28,211,190,56,28,28.6,64.3,263,619,26,13,16,56,27,335,82,15,25,10,6,28,21,79,21.0
46,Gabriel Martinelli,€60M,br BRA,Arsenal,"FW,MF",23-313,29,21,1956.0,7,4,1,0,5.9,4.5,106,44,259,0.32,0.51,0.27,0.21,N/a,N/a,N/a,N/a,42.2,0.87,0.16,13.0,429,71.0,6240,83.1,69.2,51.1,34,10,30,13,44,61,2.81,6,0.28,19,14,22,16,10,0,10,4,860,15,83,218,571,162,103,29.1,55.3,576,2268,106,29,55,48,33,655,259,14,19,8,80,70,14,29,32.6
47,Cristian Romero,€60M,ar ARG,Tottenham,DF,27-000,18,18,1416.0,1,0,3,0,1.6,0.6,12,71,3,0.06,0.06,0.1,0.04,N/a,N/a,N/a,N/a,50.0,0.51,0.06,9.1,1094,89.5,20402,91.4,94.7,63.5,7,109,8,1,71,20,1.27,4,0.25,35,29,30,9,18,3,15,21,1377,157,594,720,74,23,4,25.0,50.0,896,2893,12,18,0,10,5,936,3,14,12,2,3,90,41,27,60.3
48,Levi Colwill,€59.8M,eng ENG,Chelsea,DF,22-060,31,31,2789.0,1,1,8,0,1.3,1.1,13,124,11,0.03,0.06,0.04,0.04,N/a,N/a,N/a,N/a,18.8,0.1,0.06,9.9,2167,89.6,39487,92.7,95.3,57.7,14,144,7,3,124,37,1.19,3,0.1,40,28,25,9,34,24,10,31,2669,330,1241,1310,128,35,10,60.0,40.0,1526,3857,13,11,1,13,8,1964,11,42,18,4,13,108,76,51,59.8
